brand_index,brand,query_keyword,brand_shop_detail_url,released_date,category,original_item,event,item
1,로우퀘스트,['RAWQUEST'],https://www.oliveyoung.co.kr/store/display/getBrandShopDetail.do?onlBrndCd=A011434,2024-08-19,"['선케어', '스킨케어', '클렌징']",브랜드관^로우퀘스트_베스트^로우퀘스트 베리어 인핸싱 선크림 50mL,True,로우퀘스트 베리어 인핸싱 선크림
1,로우퀘스트,['RAWQUEST'],https://www.oliveyoung.co.kr/store/display/getBrandShopDetail.do?onlBrndCd=A011434,2024-08-19,"['선케어', '스킨케어', '클렌징']",브랜드관^로우퀘스트_베스트^로우퀘스트 에키네시아 카밍 모이스처 앰플 50ml,True,로우퀘스트 에키네시아 카밍 모이스처 앰플
1,로우퀘스트,['RAWQUEST'],https://www.oliveyoung.co.kr/store/display/getBrandShopDetail.do?onlBrndCd=A011434,2024-08-19,"['선케어', '스킨케어', '클렌징']",브랜드관^로우퀘스트_베스트^로우퀘스트 베리어 인핸싱 토너 투 에센스 200ml,True,로우퀘스트 베리어 인핸싱 토너 투 에센스
1,로우퀘스트,['RAWQUEST'],https://www.oliveyoung.co.kr/store/display/getBrandShopDetail.do?onlBrndCd=A011434,2024-08-19,"['선케어', '스킨케어', '클렌징']",브랜드관^로우퀘스트_베스트^로우퀘스트 에키네시아 카밍 모이스처 젤 크림 50ml,True,로우퀘스트 에키네시아 카밍 모이스처 젤 크림
1,로우퀘스트,['RAWQUEST'],https://www.oliveyoung.co.kr/store/display/getBrandShopDetail.do?onlBrndCd=A011434,2024-08-19,"['선케어', '스킨케어', '클렌징']",브랜드관^로우퀘스트_베스트^로우퀘스트 에키네시아 에어리 선스틱 19g,True,로우퀘스트 에키네시아 에어리 선스틱
1,로우퀘스트,['RAWQUEST'],https://www.oliveyoung.co.kr/store/display/getBrandShopDetail.do?onlBrndCd=A011434,2024-08-19,"['선케어', '스킨케어', '클렌징']",브랜드관^로우퀘스트_베스트^로우퀘스트 베리어 인핸싱 클렌저 190ml,False,로우퀘스트 베리어 인핸싱 클렌저
1,로우퀘스트,['RAWQUEST'],https://www.oliveyoung.co.kr/store/display/getBrandShopDetail.do?onlBrndCd=A011434,2024-08-19,"['선케어', '스킨케어', '클렌징']",브랜드관^로우퀘스트_베스트^로우퀘스트 베리어 리커버리 크림 80ml,True,로우퀘스트 베리어 리커버리 크림
2,아넷사,['ANESSA'],https://www.oliveyoung.co.kr/store/display/getBrandShopDetail.do?onlBrndCd=A000278,2024-08-19,['선케어'],브랜드관^아넷사_베스트^아넷사 퍼펙트 UV 선스크린 스킨케어 스프레이 60g,True,아넷사 퍼펙트 UV 선스크린 스킨케어 스프레이
2,아넷사,['ANESSA'],https://www.oliveyoung.co.kr/store/display/getBrandShopDetail.do?onlBrndCd=A000278,2024-08-19,['선케어'],브랜드관^아넷사_베스트^아넷사 데이세럼 30ml,True,아넷사 데이세럼
2,아넷사,['ANESSA'],https://www.oliveyoung.co.kr/store/display/getBrandShopDetail.do?onlBrndCd=A000278,2024-08-19,['선케어'],브랜드관^아넷사_베스트^아넷사 퍼펙트 UV 선스크린 스킨케어 젤 90g 기획 (+15g*2ea),True,아넷사 퍼펙트 UV 선스크린 스킨케어 젤
2,아넷사,['ANESSA'],https://www.oliveyoung.co.kr/store/display/getBrandShopDetail.do?onlBrndCd=A000278,2024-08-19,['선케어'],브랜드관^아넷사_베스트^[NEW] 아넷사 퍼펙트 UV 선스크린 마일드 밀크 60ml,False,아넷사 퍼펙트 UV 선스크린 마일드 밀크
2,아넷사,['ANESSA'],https://www.oliveyoung.co.kr/store/display/getBrandShopDetail.do?onlBrndCd=A000278,2024-08-19,['선케어'],브랜드관^아넷사_베스트^[NEW] 아넷사 미네랄 UV 선스크린 마일드 젤 90g,False,아넷사 미네랄 UV 선스크린 마일드 젤
2,아넷사,['ANESSA'],https://www.oliveyoung.co.kr/store/display/getBrandShopDetail.do?onlBrndCd=A000278,2024-08-19,['선케어'],브랜드관^아넷사_베스트^[아시아No.1썬케어]아넷사 퍼펙트 UV 선스크린 스킨케어 밀크 60ml 기획 (+12ml*2ea),True,아넷사 퍼펙트 UV 선스크린 스킨케어 밀크
2,아넷사,['ANESSA'],https://www.oliveyoung.co.kr/store/display/getBrandShopDetail.do?onlBrndCd=A000278,2024-08-19,['선케어'],브랜드관^아넷사_베스트^아넷사 퍼펙트 UV 선스크린 스킨케어 밀크 NA 60ml,False,아넷사 퍼펙트 UV 선스크린 스킨케어 밀크 NA
2,아넷사,['ANESSA'],https://www.oliveyoung.co.kr/store/display/getBrandShopDetail.do?onlBrndCd=A000278,2024-08-19,['선케어'],브랜드관^아넷사_베스트^[NEW] 아넷사 브라이트닝 UV 선스크린 젤 90g,False,아넷사 브라이트닝 UV 선스크린 젤
3,써랏,['surratt'],https://www.oliveyoung.co.kr/store/display/getBrandShopDetail.do?onlBrndCd=A013097,2024-08-19,['메이크업'],브랜드관^써랏_베스트^써랏 써리얼 스킨 파운데이션 완드,False,써랏 써리얼 스킨 파운데이션 완드
3,써랏,['surratt'],https://www.oliveyoung.co.kr/store/display/getBrandShopDetail.do?onlBrndCd=A013097,2024-08-19,['메이크업'],브랜드관^써랏_베스트^[공용기] 써랏 쁘띠/그란데 팔레트,False,써랏 쁘띠/그란데 팔레트
3,써랏,['surratt'],https://www.oliveyoung.co.kr/store/display/getBrandShopDetail.do?onlBrndCd=A013097,2024-08-19,['메이크업'],브랜드관^써랏_베스트^써랏 엑스프레셔니스트 브라우 펜슬,True,써랏 엑스프레셔니스트 브라우 펜슬
3,써랏,['surratt'],https://www.oliveyoung.co.kr/store/display/getBrandShopDetail.do?onlBrndCd=A013097,2024-08-19,['메이크업'],브랜드관^써랏_베스트^써랏 렐레비 마스카라,False,써랏 렐레비 마스카라
3,써랏,['surratt'],https://www.oliveyoung.co.kr/store/display/getBrandShopDetail.do?onlBrndCd=A013097,2024-08-19,['메이크업'],브랜드관^써랏_베스트^써랏 그란데 팔레트,False,써랏 그란데 팔레트
3,써랏,['surratt'],https://www.oliveyoung.co.kr/store/display/getBrandShopDetail.do?onlBrndCd=A013097,2024-08-19,['메이크업'],브랜드관^써랏_베스트^써랏 립슬리크,False,써랏 립슬리크
3,써랏,['surratt'],https://www.oliveyoung.co.kr/store/display/getBrandShopDetail.do?onlBrndCd=A013097,2024-08-19,['메이크업'],브랜드관^써랏_베스트^써랏 오토마티크 립 크레용,True,써랏 오토마티크 립 크레용
3,써랏,['surratt'],https://www.oliveyoung.co.kr/store/display/getBrandShopDetail.do?onlBrndCd=A013097,2024-08-19,['메이크업'],브랜드관^써랏_베스트^써랏 스모키 아이 바톤,False,써랏 스모키 아이 바톤
3,써랏,['surratt'],https://www.oliveyoung.co.kr/store/display/getBrandShopDetail.do?onlBrndCd=A013097,2024-08-19,['메이크업'],브랜드관^써랏_베스트^써랏 오토그라피크 라이너,False,써랏 오토그라피크 라이너
3,써랏,['surratt'],https://www.oliveyoung.co.kr/store/display/getBrandShopDetail.do?onlBrndCd=A013097,2024-08-19,['메이크업'],브랜드관^써랏_베스트^써랏 아티스티크 리퀴드 블러쉬,False,써랏 아티스티크 리퀴드 블러쉬
4,어글리러블리,['UGLY LOVELY'],https://www.oliveyoung.co.kr/store/display/getBrandShopDetail.do?onlBrndCd=A011372,2024-08-19,['마스크팩'],브랜드관^어글리러블리_테마별상품전시_1^어글리러블리 수분 진정 포테이토 마스크 1매,True,어글리러블리 수분 진정 포테이토 마스크
4,어글리러블리,['UGLY LOVELY'],https://www.oliveyoung.co.kr/store/display/getBrandShopDetail.do?onlBrndCd=A011372,2024-08-19,['마스크팩'],브랜드관^어글리러블리_테마별상품전시_1^어글리러블리 생기 톤업 유자 마스크 100ml,False,어글리러블리 생기 톤업 유자 마스크
4,어글리러블리,['UGLY LOVELY'],https://www.oliveyoung.co.kr/store/display/getBrandShopDetail.do?onlBrndCd=A011372,2024-08-19,['마스크팩'],브랜드관^어글리러블리_테마별상품전시_1^어글리러블리 포테이토&만다린 마스크 8매 (+2매 증정기획),True,어글리러블리 포테이토&만다린 마스크
4,어글리러블리,['UGLY LOVELY'],https://www.oliveyoung.co.kr/store/display/getBrandShopDetail.do?onlBrndCd=A011372,2024-08-19,['마스크팩'],브랜드관^어글리러블리_베스트^어글리러블리 매끈 보들 피그 마스크 100ml,True,어글리러블리 매끈 보들 피그 마스크
4,어글리러블리,['UGLY LOVELY'],https://www.oliveyoung.co.kr/store/display/getBrandShopDetail.do?onlBrndCd=A011372,2024-08-19,['마스크팩'],브랜드관^어글리러블리_베스트^어글리러블리 영양 보습 만다린 마스크 1매,True,어글리러블리 영양 보습 만다린 마스크
4,어글리러블리,['UGLY LOVELY'],https://www.oliveyoung.co.kr/store/display/getBrandShopDetail.do?onlBrndCd=A011372,2024-08-19,['마스크팩'],브랜드관^어글리러블리_베스트^어글리러블리 광채 보습 캐롯 마스크 100ml,True,어글리러블리 광채 보습 캐롯 마스크
5,파파레서피,['paparecipe'],https://www.oliveyoung.co.kr/store/display/getBrandShopDetail.do?onlBrndCd=A001382,2024-08-19,"['스킨케어', '마스크팩', '클렌징']",브랜드관^파파레서피_신상^파파레서피 마데케어 연고 33g,True,파파레서피 마데케어 연고
5,파파레서피,['paparecipe'],https://www.oliveyoung.co.kr/store/display/getBrandShopDetail.do?onlBrndCd=A001382,2024-08-19,"['스킨케어', '마스크팩', '클렌징']",브랜드관^파파레서피_베스트^파파레서피 파파스 패치 노우즈,True,파파레서피 파파스 패치 노우즈
5,파파레서피,['paparecipe'],https://www.oliveyoung.co.kr/store/display/getBrandShopDetail.do?onlBrndCd=A001382,2024-08-19,"['스킨케어', '마스크팩', '클렌징']","브랜드관^파파레서피_베스트^[올리브영 단독운영] 파파레서피 효소 파우더 클렌저 파우치 (1.2g*12개입) 3종 택1(블레미쉬, 가지, 티트리)",True,파파레서피 효소 파우더 클렌저 파우치
5,파파레서피,['paparecipe'],https://www.oliveyoung.co.kr/store/display/getBrandShopDetail.do?onlBrndCd=A001382,2024-08-19,"['스킨케어', '마스크팩', '클렌징']",브랜드관^파파레서피_베스트^파파레서피 블레미쉬 크림 100ml,True,파파레서피 블레미쉬 크림
5,파파레서피,['paparecipe'],https://www.oliveyoung.co.kr/store/display/getBrandShopDetail.do?onlBrndCd=A001382,2024-08-19,"['스킨케어', '마스크팩', '클렌징']",브랜드관^파파레서피_베스트^파파레서피 블레미쉬 클렌징 오일 300ml,False,파파레서피 블레미쉬 클렌징 오일
5,파파레서피,['paparecipe'],https://www.oliveyoung.co.kr/store/display/getBrandShopDetail.do?onlBrndCd=A001382,2024-08-19,"['스킨케어', '마스크팩', '클렌징']",브랜드관^파파레서피_베스트^파파레서피 가지 클리어링 수분 각질 필링 패드 토너 70매,True,파파레서피 가지 클리어링 수분 각질 필링 패드 토너
5,파파레서피,['paparecipe'],https://www.oliveyoung.co.kr/store/display/getBrandShopDetail.do?onlBrndCd=A001382,2024-08-19,"['스킨케어', '마스크팩', '클렌징']",브랜드관^파파레서피_베스트^파파레서피 블레미쉬 필링 토너 120ml,True,파파레서피 블레미쉬 필링 토너
5,파파레서피,['paparecipe'],https://www.oliveyoung.co.kr/store/display/getBrandShopDetail.do?onlBrndCd=A001382,2024-08-19,"['스킨케어', '마스크팩', '클렌징']",브랜드관^파파레서피_베스트^[온라인/단독기획]파파레서피 블레미쉬(광채) 효소 파우더 클렌저 더블 기획 세트(브러쉬+크림7ml 증정),True,파파레서피 블레미쉬 효소 파우더 클렌저
5,파파레서피,['paparecipe'],https://www.oliveyoung.co.kr/store/display/getBrandShopDetail.do?onlBrndCd=A001382,2024-08-19,"['스킨케어', '마스크팩', '클렌징']","브랜드관^파파레서피_베스트^파파레서피 효소 파우더 클렌저 마시마로 더블기획 3종 택1_마시마로 블레미쉬(광채),가지(보습),티트리(진정)",True,파파레서피 효소 파우더 클렌저 마시마로
